A|art.|un|
SAND|n.|sable, sand (-i, -osi, -banca, -riff)|
SANDAL|XXX|sandale; (tree) santale|
SANDSTONE|XXX|sable-petre|
SANDWICH|XXX|sandwich|
SANDWICHMAN|XXX|porta-afiche|
SANE|XXX|de san spíritu, de san mente|
SANGFROID|XXX|aplombe, sangue frigid|
SANGUINARY|XXX|sanguinari|
SANGUINE|XXX|sanguin, optimistic|
SANITARY|XXX|sanitari, salubri|
SANITATION|XXX|higiene|
SANITY|XXX|sanitá mental|
SAP|n.|succ (-osi)|
SAP|v.|subminar, sappar (-ero); exhauster|
SAPIENT|XXX|sapient (-ie)|
SAPLING|XXX|arborelle, yun árbor|
SAPONACIOUS|XXX|saponatri|
SAPPER|XXX|sappero|
SAPPHIRE|XXX|safire|
SARABAND|XXX|sarabande|
SARACEN|XXX|saracen|
SARCASM|XXX|sarcasme|
SARCASTIC|XXX|sarcastic|
SARCOPHAGUS|XXX|sarcofago|
SARDINE|XXX|sardine|
SARDONIC|XXX|sardonic|
SARGASSO|XXX|sargasso|
SARTORIAL|XXX|sartorial|
SASH|XXX|charpe; (of window) cadre fenestral|
SATAN|XXX|satano (-ic)|
SATCHEL|XXX|porta-folie, paperiere|
SATE|v.|satiar (-abil)|
SATELLITE|XXX|satelite|
SATIATE|v.|satiar (-abil)|
SATIETY|XXX|satietá, satie|
SATIN|XXX|satine|
SATIRE|XXX|satire (-ic, -ist, -isar)|
SATISFIED|XXX|content, satisfat; convictet; (of apetite) sat|
SATISFY|v.|satisfar (-ation, -ant, -atori), contentar|
SATURATE|v.|saturar (-ation, -itá)|
SATURATED|XXX|satur|
SATURDAY|XXX|saturdí|
SATYR|XXX|satiro|
SAUCE|XXX|sauce (-iere); impertinentie|
SAUCEPAN|XXX|casserol|
SAUCER|XXX|subtasse|
SAUCY|XXX|impertinent (-ie)|
SAUERKRAUT|XXX|sauerkraut|
SAUNTER|v.|ear lentmen, vagar, flanar|
SAUSAGE|XXX|salsice|
SAVAGE|adj.|íncult, savagi (-tá, -eríe), feroci, barbaric|
SAVAGE|n.|savagio, barbaro|
SAVE|conj.|except(et)|
SAVE|prep.|except(et)|
SAVE|v.|(rescue) salvar; (economise) sparniar, economisar; (keep) conservar; reservar; (protect) gardar; (prevent) preventer|
SAVELOY|XXX|cervelate|
SAVINGS|XXX|sparniage, sparniament|
SAVIOUR|XXX|Salvator|
SAVOUR|n.|sapore (-osi)|
SAVOUR|v.|savurar; (savour of) saper|
SAVOURY|adj.|(spiced) spiceat|
SAW|n.|sega (-ería); (saying) aforisme|
SAW|v.|segar|
SAWDUST|XXX|segallia|
SAWING-TRESTLE|XXX|seguore|
SAXIFRAGE|XXX|saxifraga|
SAXOPHONE|XXX|saxofon|
SAY|v.|dir|
SAY WHATEVER COMES UPPER|v.|dir to quo veni in mente|
SAYING|XXX|sententie, aforisme|
SCAB|XXX|cruste; (disease) scabie (-osi)|
SCABBARD|XXX|espadiere, foderale, porta-espade|
SCABIES|XXX|scabie (-osi)|
SCABIOUS|n.|(bot.) scabiose|
SCAFFOLD|XXX|scafote (-age)|
SCAFFOLDING|XXX|scafalde|
SCALD|v.|scaldar|
SCALE|n.|(grade) gradu; (graduated range) scale; (mus.) gamme; (of charges) tarif; (scalepan) platil de balancie; (of animals) squame (-osi)|
SCALE|v.|climbar; (with ladders) scaladar; (peel off) desquamar|
SCALES|XXX|balancie|
SCALLOP|XXX|feston; (mollusc) péctine|
SCALP|XXX|scalp (-ar, -el)|
SCAMP|v.|laborachar|
SCAMP|n.|rascale, vale-necós|
SCAMPER|v.|hastar|
SCAN|v.|scanDer (-sion); examinar|
SCANDAL|XXX|scandale (-isar, -osi)|
SCANT|v.|usar mesquinmen|
SCANT|adj.|scarsi, insuficent, rar|
SCANTY|v.|usar mesquinmen|
SCANTY|adj.|scarsi, insuficent, rar|
SCAPEGOAT|XXX|expiator, peccon|
SCAPULA|XXX|scapul (-arie)|
SCAR|XXX|cicatre (-isar)|
SCARAB|XXX|scarabé|
SCARCE|XXX|scarsi (-tá), rar|
SCARCELY|XXX|apen|
SCARE|n.|panica|
SCARE|v.|terrer, far fugir|
SCARECROW|XXX|para-avie|
SCARF|XXX|charpe|
SCARIFY|v.|scarificar (-ation)|
SCARLET|XXX|scarlat|
SCARLET FEVER|XXX|febre scarlatin, scarlatine|
SCARP|XXX|scarpe (-at)|
SCATHING|XXX|anihilant, aplastant|
SCATTER|v.|disperser, disjettar, dissemar|
SCAVENGER|XXX|balayero, escombrero|
SCENE|XXX|scene (-ic); (view) perspective|
SCENERY|n.|(theatre) deoorationes; sceneríe; (landscape) paisage|
SCENT|n.|odore (-ar), parfúm (-ar); (hunting) flare (-ar)|
SCEPTIC|XXX|sceptico|
SCEPTICAL|XXX|sceptic (-isme)|
SCEPTRE|XXX|sceptre|
SCHEDULE|XXX|liste, formulare, tabelle, cedul|
SCHEME|v.|projector, conspirar, intrigar|
SCHEME|n.|schema (-tic), plan, projecte|
SCHISM|XXX|schisma (-tic)|
SCHIST|XXX|schist|
SCHOLAR|XXX|elev (-a, -o) , scolero; docte, erudito|
SCHOLARLY|XXX|erudit|
SCHOLARSHIP|XXX|stipendie; erudition|
SCHOLASTIC|XXX|scholastic|
SCHOOL|XXX|scole; (building) scola, educatoria|
SCHOOLFELLOW|XXX|conscolero|
SCHOOLMASTER|XXX|mastre, principale, pedagogo|
SCHOONER|XXX|scune|
SCIATICA|XXX|sciatica|
SCIENCE|XXX|scientie (-al, -ic, -ist, -ific)|
SCIMITAR|XXX|cimeterre|
SCINTILLATE|v.|scintillar (-ation)|
SCISSORS|XXX|cisores, cisette, tondette|
SCOFF|v.|deriDer, mocar|
SCOLD|v.|insultar, injuriar, reprimandar|
SCOOP|v.|hauster, excavar|
SCOOP|n.|haustor, palla|
SCOPE|XXX|oportunitá; cadre, camp de action; (aim) scope|
SCORBUTIC|XXX|scorbutic|
SCORCH|v.|ustular (-ation)|
SCORE|n.|(notch) incision; cause, motive; (games) calcul, conte; (twenty) duantene; (mus.) partitura|
SCORE|v.|inciser; (games) marcar; ganiar puntes|
SCORIA|XXX|scorie (-atri, -ificar)|
SCORN|n.|despecte (-er), desestima (-ar)|
SCORNFUL|XXX|despectent|
SCORPION|XXX|scorpion|
SCOUNDREL|XXX|rascale, fripon, furbe|
SCOUR|v.|terger, scurar; (a district) tracurrer, traversar|
SCOURGE|n.|knute (-ar), flagelle|
SCOUT|n.|scout (-isme)|
SCOUT|v.|deriDer, repulser|
SCOWL|v.|menaciar per li regarde|
SCRAGGY|XXX|magri|
SCRAMBLE|n.|lucte, confusion|
SCRAMBLE|v.|(climb) grimpar|
SCRAP|n.|pezze, fragment|
SCRAPE|n.|embarasse, desfacilitá|
SCRAPE|v.|scrappar (-allia)|
SCRAPER|XXX|scrappuore, scrappette|
SCRAPIRON|XXX|ferrallia|
SCRATCH|v.|grattar|
SCRATCH OUT|v.|forstrecar|
SCRAWL|v.|scriachar|
SCREAM|v.|criar, yellar, strider|
SCREEN|n.|ecran, scren|
SCREEN|v.|(shield) protector|
SCREW|n.|scruv (-ar); (of ship) helice|
SCREW|v.|(twist) torDer|
SCREW-DRIVER|XXX|tira-scruv, scruv-tornator|
SCREW-JACK|XXX|cric|
SCRIBBLE|v.|scriachar|
SCRIPT|XXX|scrite, scritura|
SCRIPTURE|XXX|bible, sant scritura|
SCROFULA|XXX|scroful (-osi)|
SCROLL|n.|cartuche; paper-volute, rule|
SCRUB|n.|(underwood) arbustallia|
SCRUB|v.|lav-brossar, terger, scurar|
SCRUPLE|XXX|scrupul (-osi, -ositá)|
SCRUTINISE|v.|examinar (-ator)|
SCRUTINY|XXX|scrutine|
SCUFFLE|n.|melé, rixe|
SCUFFLE|v.|rixar, interluctar; (feet) acrappar per li pedes|
SCULL|n.|rem (-ar)|
SCULLERY|XXX|lavatoria, rinsatoria; cocinatoria|
SCULPTOR|XXX|sculptor|
SCULPTURE|v.|sculpter (-ura)|
SCULPTURE GALLERY|XXX|gliptoteca|
SCUM|adj.|vil|
SCUM|n.|scum (-osi), sediment; canallia|
SCURF|n.|squame (del scalpe); furfure|
SCURRILOUS|XXX|vil, calumniosi, scuril|
SCURVY|adj.|vil, bass|
SCURVY|n.|scorbute|
SCUTTLE|n.|(coalscuttle) carboniere|
SCUTTLE|v.|sabordar, submerser; (run off) forcurrer|
SCYTHE|n.|falce (-ear)|
SEA|XXX|mare, ocean; multité|
SEA GREEN|XXX|glaucom|
SEA-GULL|XXX|movette|
SEA-MEW|XXX|movette|
SEA-URCHIN|XXX|ursine|
SEA-WEED|XXX|alga|
SEAL|n.|cane marin, foca; (impression) sigille (-ar)|
SEAL|v.|(letters) cluder|
SEALING-WAX|XXX|sigill-cire|
SEAM|XXX|sutura; (of minerals) strate, vene|
SEAMAN|XXX|marinero|
SEANCE|XXX|session|
SEAR|v.|cauterisar|
SEARCH|v.|serchar, examinar; (leg.) perquisir|
SEARCHING|XXX|penetrant|
SEARCHLIGHT|XXX|projector|
SEASICKNESS|XXX|male de mare|
SEASIDE|XXX|marborde, plage|
SEASON|n.|seson|
SEASON|v.|condimentar, spicear|
SEASONABLE|XXX|oportun, secun seson|
SEASONING|XXX|condiment|
SEAT|n.|sede, stul, banca|
SEAT|v.|sedentar|
SEBACIOUS|XXX|sebosi, sebic|
SECEDE|v.|retraer se; dissider (-ente)|
SECLUDE|v.|secluDer (-sion)|
SECOND|adj.|duesim, secund (-ari); inferiori|
SECOND|n.|(of time) seconde; (duel) secundante|
SECOND|v.|subtener, secundar|
SECOND IN COMMAND|XXX|sub-comandante|
SECOND-HAND|XXX|de secund manu|
SECOND-HAND DEALER|XXX|antiquario|
SECONDARY SCHOOL|XXX|licéo (-an, -ano)|
SECRET|adj.|secret, ocult, arcan|
SECRET|n.|secrete (-esse)|
SECRETARY|XXX|secretario (-al)|
SECRETE|v.|secreer (-tion, -tori)|
SECT|XXX|secta (-ant, -ari, -ario, -ano)|
SECTION|XXX|section, division, compartiment|
SECTOR|XXX|sector|
SECULAR|XXX|profan, seculari (-isar), mundan|
SECURE|adj.|salv, secur (-itá)|
SECURE|v.|securar; obtener; fixar|
SECURITY|XXX|securitá; (leg.) cautela, garantíe; (bond) obligation|
SEDATE|XXX|calm, seren|
SEDATIVE|n.|sedative|
SEDENTARY|XXX|sedentari|
SEDGE|XXX|cárex|
SEDIMENT|XXX|sediment|
SEDITION|XXX|sedition (-iosi)|
SEDUCE|v.|seducter (-ion, -or, -iv)|
SEDULOUS|XXX|assidui, diligent|
SEE|n.|episcopia|
SEE|v.|vider|
SEE TO|v.|cuidar|
SEED|XXX|seme (-ar, -ero), gérmine|
SEEDSMAN|XXX|sem-venditor|
SEEK|v.|serchar; (try) penar, provar|
SEEM|v.|semblar, aparer|
SEEMLY|XXX|convenent, decent|
SEER|XXX|profete, augur|
SEESAW|n.|balansuore, bascul|
SEETHE|v.|brodular, bollir|
SEGBEGATE|v.|isolar, separar|
SEGMENT|XXX|segment|
SEISMOLOGIST|XXX|sismologo (-ie)|
SEIZE|v.|capter, capir, inpuniar|
SEIZURE|XXX|caption; (illness) atacca|
SELDOM|adv.|rarmen, ínfrequentmen|
SELECT|adj.|selectet, exquisit|
SELECT|v.|selecter (-ion, -iv, -ivitá, -or)|
SELENIUM|XXX|selenium|
SELF|adj.|self (-ic)|
SELF|n.|ego, natura|
SELFASSURANCE|XXX|aplombe|
SELFCONCEITED|XXX|vanitosi|
SELFCONFIDENCE|XXX|self-confidentie|
SELFCONSCIOUS|XXX|self-conscient|
SELFCONTROL|XXX|self, self-domination|
SELFDENIAL|XXX|abnegation|
SELFEVIDENT|XXX|self|
SELFGOVERNING|XXX|autonom (-ie)|
SELFHELP|XXX|self-auxilie|
SELFINSTRUCTION|XXX|self, autodidactie|
SELFISH|XXX|egoistic|
SELFISHNESS|XXX|egoisme|
SELL|v.|vendir (-itor, -ition)|
SEMAPHORE|XXX|semafore|
SEMBLANCE|XXX|semblantie, similitá|
SEMI|prefix|semi-circul, -cólon etc.|
SEMINARY|XXX|seminarie|
SEMIQUAVER|XXX|duplic croche|
SEMITIC|XXX|semitic|
SEMOLINA|XXX|semol|
SEMPSTRESS|XXX|sutora|
SENATE|XXX|senat (-or)|
SEND|v.|inviar, misser, expedir|
SEND FOR|v.|far venir|
SEND ON|v.|transmisser|
SEND OUT|v.|emisser, dismisser|
SEND WORD OF|v.|avisar|
SENILE|XXX|senil (-itá)|
SENIOR|adj.|plu old, senior (-itá)|
SENSATION|XXX|sensation (-al, -alisme), eclate, sentida|
SENSE|v.|sentir, percepter|
SENSE|n.|sense, signification; prudentie; (faculty) sensu|
SENSELESS|XXX|absurd; insensat; (unconscious) ínconscient, ínsensibil|
SENSIBLE|XXX|prudent, inteligent; (able to feel) sensibil; (appreciable) sentibil, perceptibil|
SENSITIVE|XXX|sensitiv (-itá), sensibil, impressibil|
SENSUAL|XXX|sensual (-ist, -itá, -isme)|
SENSUOUS|XXX|sensual|
SENTENCE|graram.|frase; (legal) judica ment, sententie|
SENTENCE|v.|condamnar, sententiar|
SENTIMENT|XXX|sentiment (-al, -alitá), opinion|
SENTINEL|XXX|sentinelle, posto|
SENTRY|XXX|sentinelle, posto|
SENTRY-BOX|XXX|garite|
SEPAL|XXX|sepal|
SEPARATE|adj.|separat, apart, distint|
SEPARATE|v.|separar (-ation, -ator, -ativ, -abil), desunir, alontanar|
SEPIA|XXX|sepia|
SEPTEMBER|XXX|septembre|
SEPTENNIAL|XXX|settennial|
SEPTIC|XXX|septic|
SEPTUAGENARIAN|XXX|settantario|
SEPULCHRAL|XXX|lugubri, sepultorial|
SEPULCHRE|XXX|tombe, sepulte|
SEQUEL|XXX|continuation, sequent parte|
SEQUENCE|XXX|sequentie; serie; órdine|
SEQUESTRATE|v.|sequestrar (-ation)|
SEQUOIA|XXX|sequoia|
SERAGLIO|XXX|serái|
SERAPH|XXX|seraf|
SERE|XXX|sicc, marcit, marcid|
SERENADE|XXX|serenade|
SERENE|XXX|seren (-itá), calm|
SERF|XXX|servo, servitudario|
SERFDOM|XXX|servitude, servage|
SERGE|XXX|serge|
SERGEANT|XXX|sergente|
SERIAL|adj.|serial|
SERIAL|n.|folieton|
SERIES|XXX|serie; sequentie|
SERIOUS|XXX|seriosi (-tá), grav|
SERMON|XXX|sermon (-ar)|
SERPENT|XXX|serpente (-in)|
SERRATED|XXX|dentat|
SERUM|XXX|serum; (in compounds) sero-|
SERVANT|XXX|servitor; domestica (-o)|
SERVE|v.|servir; assister; (to be suitable) convener|
SERVICE|n.|servicie; favore; (set of china) service|
SERVICEABLE|XXX|util|
SERVIETTE|XXX|serviette|
SERVILE|XXX|servil (-itá), sclavic|
SERVITUDE|XXX|servitude, solavitá|
SESSION|XXX|session|
SET|adj.|firm, fix, rigid; formal; regulari; obstinat|
SET|n.|(collection) colection, complement; serie; (of people) clicca; circul, gruppe|
SET|v.|arangear, adaptar, fixar, etablisser; assignar; (of liquids) solidijar; (a limb) remetter; (mount) monter; (with gems) garnir; (place) metter, posir, plazzar; (station) locar, postar; (of sun etc.) descenDer; (type) composter; (clock) ajustar|
SET ABOUT|v.|ataccar; comensar|
SET ALIGHT|v.|incendiar, inflammar|
SET DOWN|v.|notar, adscrir, atribuer; imputar|
SET FORTH|v.|presentar, exposir, monstrar; departer|
SET IN MOTION|v.|far functionar, lansar; activar|
SET ON|v.|incitar, ataccar|
SET ON EDGE|v.|exasperar, iritar|
SET ON FIRE|v.|incendiar; accender|
SET OUT|v.|exposir; comensar; departer, demonstrar|
SET TO|XXX|(apply oneself) devoer se, aplicar se|
SET UP|v.|erecter, etablisser; (give rise to) nascentar, causar|
SET UP TYPE|v.|composter|
SETT|XXX|pave|
SETTEE|XXX|sofa|
SETTER|XXX|sétter|
SETTING|XXX|colocation; scene, funde|
SETTLE|v.|fixar, arangear; payar; deciDer; (an account) saldar; (sink) afundar; reposar; (territory) colonisar|
SETTLED|XXX|tranquil, constant; colonisat|
SETTLEMENT|XXX|saldo; arangeament; assignatura; liquidation; (colony) colonia; (subsidence) subsedentie|
SEVEN|XXX|sett (-anti, -esim)|
SEVEN-SLEEPER|XXX|glire|
SEVER|v.|separar, dejunter, detranchar|
SEVERAL|adj.|(in number) pluri, divers, diatint, separat; respectiv|
SEVERALLY|adv.|individualmen|
SEVERE|XXX|severi (-tá), violent|
SEW|v.|suer (-tion, -tura, -tora)|
SEWER|XXX|cloaca|
SEWERAGE|XXX|cloacage|
SEWING-MACHINE|XXX|su-machine|
SEX|XXX|sexu (-al, -alitá, -alisme)|
SEXAGENARIAN|XXX|sixantario|
SEXTANT|XXX|sextante|
SEXTON|XXX|sacristan|
SHABBY|XXX|mesquin, povrachi, perusat|
SHACKLE|n.|caten|
SHACKLE|v.|(in)catenar|
SHADE|n.|ombre (-ar, -osi, -age); (degree) nuancie (-ar)|
SHADING|XXX|ombration|
SHADOW|v.|observar|
SHADOW|n.|ombre; semblantie|
SHADY|XXX|ombrosi; deshonest, suspectibil|
SHAFT|n.|(arrow) fleche; (of vehicle) timon; (of mine) puteo; (of gun) tube|
SHAGGY|XXX|vellut, vellosi|
SHAH|XXX|chah|
SHAKE|v.|sucusser; (tremble) tremer|
SHAKE HANDS|v.|presser li manus|
SHAKY|XXX|ínstabil, labil, chancelant; tremorosi, tremid|
SHALE|n.|(husk) cortice; (Geol.) schist; (gravel) gravie|
SHALLOT|XXX|cebulette|
SHALLOW|n.|bass-funde|
SHALLOW|adj.|superficial; ínprofund|
SHAM|adj.|fals, ne genuin, fictet|
SHAM|v.|ficter, simular, pretexter|
SHAME|v.|pudentar, deshonorar, hontar|
SHAME|n.|pudore, honte; desgracie|
SHAME-FACED|XXX|pudic, confuset, hontosi|
SHAMEFUL|XXX|hontosi, infam|
SHAMELESS|XXX|impudent, cinic|
SHAMPOO|n.|shampun (-ar)|
SHAMPOO|v.|lavar li cap|
SHANK|XXX|gambe, tibia; (stem) trunc|
SHANTY|XXX|cabane|
SHAPE|n.|forme (-ar), figura, modelle (-ar)|
SHAPED|suffix|-form|
SHARE|n.|portion, parte; (fin.) action|
SHARE|v.|partir, divider; distribuer; partiprender|
SHAREHOLDER|XXX|actionario|
SHARK|XXX|squale|
SHARP|adj.|acut, acri; abrupt; astut; (words) acerb|
SHARP|n.|(mus.) diese|
SHARPEN|v.|far acri, acutar; puntar|
SHARPSIGHTED|XXX|perspicaci|
SHATTER|v.|fracassar, dispezzar|
SHAVE|v.|rasar|
SHAVINGS|XXX|rabotallia|
SHAWL|XXX|chale|
SHE|XXX|ella|
SHEAF|XXX|fasce; (of corn) garbe|
SHEAR|v.|tonder|
SHEARS|XXX|tondette|
SHEATH|n.|foderale, porta-espade|
SHED|n.|cabane, remise|
SHED|v.|versar; emisser; (tears) lacrimar|
SHEEP|XXX|agne (-ello, -in)|
SHEEPISH|XXX|embarassat|
SHEER|XXX|perpendiculari; abrupt, scarp|
SHEET|n.|folie; (bed sheet) lett-linage; (metal) lámine; (naut.) scote|
SHEETIRON|XXX|lade|
SHEIK|XXX|cheik|
SHELF|XXX|tabul (de scaf); planca; (Geol.) shelf; riff|
SHELL|n.|(of molluscs) conche; cruste, cortice, shell; (mil.) obus, bombe; (pea shell) silique|
SHELL|v.|decorticar; bombardar; exsiliquar|
SHELTER|n.|asil, fugitoria|
SHELTER|v.|protecter, gardar; fugir; dar asil a; albergar|
SHELVE|v.|procrastinar, ajornar; (slope) scarpar|
SHEPHERD|n.|pastero|
SHEPHERD|v.|ducter|
SHERBET|XXX|sorbete|
SHERD|n.|(pottsherd) fragment|
SHERIFF|XXX|sheriff|
SHERRY|XXX|sherry|
SHIELD|n.|scren, egide; (armour) scude|
SHIELD|v.|defenDer, protecter|
SHIFT|n.|remedie; pretexte; change; (of workman) relé, periode|
SHIFT|v.|mover, changear; vagar|
SHIFTING|XXX|variabil|
SHIMMER|v.|lucer tremorosimen, lucettear|
SHIN|XXX|tibia|
SHINE|v.|brilliar, splender, lucer; (polish) polir|
SHINGLES|XXX|herpes|
SHIP|n.|nave, barca|
SHIP|v.|inbarcar, cargar; expedir (-ition)|
SHIPMENT|XXX|consignament, consignation|
SHIPWRECK|XXX|naufrage (-ear)|
SHIRE|XXX|comtia, provincia|
SHIRK|v.|evitar, negliger, decuidar|
SHIRT|XXX|camise|
SHIVER|n.|frisson (-ar), tremer|
SHOAL|n.|multité; sable-banca, riff|
SHOCK|n.|choc (-ar); (of sheaves) garbe|
SHOCKING|XXX|desgustant, nauseativ, repugnant|
SHODDY|adj.|inferiori, mesquin|
SHODDY|n.|stoffach|
SHOE|n.|sapate (-ero)|
SHOE|v.|(horses) ferrar|
SHOOT|n.|(hort.) ramelle, sarment|
SHOOT|v.|tirar, fusilar ; burgeonar; (fling violently) lansar (se)|
SHOOTING STAR|XXX|stelle volant, meteor|
SHOP|n.|butíca, magasine; (workshop) ateliere|
SHOP|v.|comprar, far li compras|
SHOP-KEEPER|XXX|buticario|
SHORE|v.|(shore up) subtener per traves, apoyar|
SHORE|n.|borde (del mare), costa, rive, plage, litore|
SHORN|XXX|tondet; (deprived) privat|
SHORT|XXX|curt, brevi; mancant; abrupt|
SHORT STORY|XXX|novelle|
SHORTCOMING|XXX|manca|
SHORTEN|v.|acurtar, abreviar|
SHORTHAND|XXX|stenografie|
SHORTLY|XXX|bentost|
SHORTS|XXX|short|
SHORTSIGHTED|XXX|ínprevident; de curt vision, miop|
SHOT|n.|tira, colpe; (metal missile) balle|
SHOULDER|n.|epol|
SHOULDER|v.|metter o portar sur li epoles|
SHOULDERBLADES|XXX|scapul|
SHOULDERKNOT|XXX|epol-lace|
SHOUT|n.|cri (-ar), clama|
SHOUTING|XXX|criada, clamore; aclamation|
SHOVE|v.|pussar|
SHOVEL|XXX|palle (-ade, -ar), spade (-ar)|
SHOW|n.|presentation; parade, spectacul, performantie, exposition, exhibition|
SHOW|v.|monstrar (se), far vider, exhibir, revelar, exposir|
SHOW OFF|XXX|paradar, ostentar; far contrastar|
SHOW UP|XXX|exposir, decovrir, decelar, aparir|
SHOW-CASE|XXX|vitrine|
SHOWER|n.|pluviette|
SHOWER-BATH|XXX|duche; duchuore|
SHOWERY|XXX|pluviosi|
SHOWY|XXX|ostentativ, pomposi|
SHRAPNEL|XXX|shrapnel|
SHRED|n.|(long) pezze; lacerate|
SHRED|v.|dispezzar|
SHREW|XXX|megera|
SHREWD|XXX|sagaci, astut|
SHREWMOUSE|XXX|musaren|
SHRIEK|XXX|yella (-ar), stride, cri|
SHRIKE|XXX|lanie|
SHRILL|XXX|acut; strident|
SHRIMP|XXX|crevette|
SHRINE|XXX|altare, reliquiere|
SHRINK|v.|contraer (se); retraer (se); (recoil) recular; (lessen) demeliorar, diminuer; hesitar avan|
SHRIVE|v.|confesser, absoluer|
SHRIVEL|v.|contraer se, marcir|
SHROUD|v.|invelopar|
SHROUD|n.|mort-linage; (naut.) vantes|
SHROVE TUESDAY|XXX|grass mardí|
SHRUB|XXX|arbuste, bosco (-age)|
SHRUG|v.|levar li epoles|
SHUDDER|n.|frisson (-ar)|
SHUFFLE|n.|evasion, artificie|
SHUFFLE|v.|interpussar; (cards) mixter; (shuffle along) trenar li pedes; (shuffle out of) equivocar, far pretextes, extricar se|
SHUN|v.|evitar, detornar se|
SHUNT|v.|bifurcar, rangear, shuntar|
SHUT|adj.|cludet|
SHUT|v.|cluder|
SHUTTER|XXX|para-vente; (phot.) obturator|
SHUTTLE|XXX|navette, spuliere|
SHUTTLECOCK|XXX|balls plumat|
SHY|adj.|timid; suspectiv|
SHY|v.|cabrar se|
SIBILANT|n.|sibilante|
SIBILANT|n.|sibilant|
SICK|XXX|malad|
SICKEN|v.|amaladar se, maladijar; revulser, nausear|
SICKLE|XXX|falce|
SICKLY|XXX|maladiv (-itá); nauseant|
SICKNESS|XXX|maladie; nausea|
SIDE|XXX|látere, flanca; (party) partise; afectation|
SIDEBOARD|XXX|bufete, platiliere|
SIDELIGHT|XXX|lampe lateral|
SIDELONG|XXX|obliqui(men)|
SIDEREAL|XXX|sideral|
SIDEWAYS|XXX|ad látere|
SIDING|XXX|via o linea lateral; bifurcation|
SIEGE|n.|assedie|
SIESTA|XXX|siesta, pause midial|
SIEVE|n.|cribelle (-ar)|
SIFT|v.|cribellar; examinar|
SIGH|n.|sospire (-ar)|
SIGHT|n.|vision, visivitá; (view) vista, spectacul, perspective; (of gun) mire, visette|
SIGHT|v.|mirar|
SIGHTLESS|XXX|ciec|
SIGN|n.|signe, marca, indicie|
SIGN|v.|subscrir; signar|
SIGNAL|n.|signale|
SIGNAL|v.|signalar|
SIGNATORY|XXX|signatario|
SIGNATURE|XXX|signature; autografie|
SIGNET|XXX|sigille|
SIGNIFY|v.|significar (-ation, -ativ)|
SIGNPOST|XXX|pale indicatori, monstra-via|
SILENCE|n.|silentie|
SILENCE|v.|silentiar, far tacer|
SILENT|XXX|silent|
SILHOUETTE|XXX|siluette|
SILICA|XXX|silice (-ate, -osi)|
SILK|XXX|seta (-in, -age, -eríe)|
SILKWORM|XXX|bombixe|
SILL|XXX|sill|
SILLY|XXX|stult, stupid, folli, fatui, ínept, idiotic|
SILO|XXX|silo|
SILT|v.|insablar se (-ament)|
SILT|n.|slamme, depositura, sable|
SILVER|n.|argente (-in)|
SILVER|v.|inargentar|
SILVER PLATE|XXX|service argentin|
SILVERPLATE|XXX|argenteríe|
SILVERSMITH|XXX|argentero|
SIMIAN|XXX|simian, simiatri|
SIMILAR|XXX|simil (-itá)|
SIMILE|XXX|comparation|
SIMMER|v.|bollettar, comensar bollir|
SIMPLE|XXX|simplic (-itá), naiv; pur|
SIMPLETON|XXX|naivon, ásino|
SIMPLIFY|v.|simplificar (-ation)|
SIMPLY|adv.|absolutmen; (merely) solmen|
SIMULATE|v.|simular (-ation)|
SIMULTANEOUS|XXX|simultan (-itá)|
SIN|n.|pecca (sinar, -ator, -ard)|
SINCE|conj.|pro que|
SINCE|prep.|desde|
SINCE HE HAS COME I WILL LEAVE|XXX|pro que il ha venit yo va departer|
SINCE THAT TIME|adv.|desde ti témpor|
SINCERE|XXX|sinceri (-tá)|
SINE|Geom.|sinus|
SINECURE|XXX|sinecura|
SINEW|XXX|tendon|
SINFUL|XXX|peccosi, peccaci|
SING|v.|cantar (-ator)|
SINGE|v.|ustular|
SINGLE|adj.|sol, singul, unic; (unmarried) celib (-o)|
SINGLE|v.|(single out) selecter|
SINGULAR|n.|(gramm.) singulare|
SINGULAR|adj.|singulari (-tá), ínusual, apart; bizarri|
SINISTER|XXX|sinistri|
SINK|n.|(domestic) rinsuore, eversuore, lav-petre|
SINK|v.|submerser, descenDer, plongear; diminuer; (sink a shaft) excavar|
SINK INTO|v.|lassar se cader|
SINKING-FUND|XXX|cassa de amortisation|
SINUOUS|XXX|sinuosi (-tá)|
SIP|v.|sirotar|
SIPHON|XXX|sifon (-ar)|
SIR|XXX|senior|
SIREN|XXX|sirene; (nymph) sirena|
SIRLOIN|XXX|hanche|
SISKIN|XXX|tarine|
SISTER|XXX|sestra|
SISTER-IN-LAW|XXX|bel-sestra|
SIT|v.|seder|
SIT DOWN|v.|sedentar se; (of hens) covar|
SITE|XXX|loc, situation, position|
SITTING|XXX|session; (hen) covada|
SITUATE|adj.|situat (-ion)|
SIX|XXX|six (-anti, -esim)|
SIZE|XXX|grandore, mesura, dimension; (adhesive) glutine|
SKATE|n.|patine (-ar, -age, -ator, -atoria); (fish) ray|
SKEIN|XXX|glom|
SKELETON|XXX|squelette, ossage; frame|
SKETCH|n.|esquisse (-ar), dessine; (rough draft) cladde|
SKEWER|XXX|carne-clove|
SKI|XXX|ski (-ar)|
SKID|n.|para-glissa, eaten de rote|
SKID|v.|glissar|
SKIFF|XXX|canú|
